Date,WeekStartingMonday,Opponent,Venue,Result,Goals For,Goals Against
6/12/2016,6/6/2016,Houston Dash,Home,W,1,0
6/19/2016,6/13/2016,Sky Blue FC,Away,D,0,0
6/25/2016,6/20/2016,FC Kansas City,Away,D,0,0
7/2/2016,6/27/2016,Boston Breakers,Home,W,2,0
7/9/2016,7/4/2016,Western New York Flash,Away,L,2,3
7/16/2016,7/11/2016,Western New York Flash,Home,D,1,1
7/23/2016,7/18/2016,Orlando Pride,Home,W,5,2
7/30/2016,7/25/2016,Portland Thorns FC,Away,L,0,1
